date,open,high,low,close,volume,next_day_close
16-07-2015,111.019997,116.489998,107.68,115.809998,63461000,114.769997
17-07-2015,117.339996,117.879997,114.239998,114.769997,25136900,110.550003
20-07-2015,114.699997,114.699997,110.139999,110.550003,22676900,112.510002
21-07-2015,110.209999,113.709999,109.32,112.510002,14085400,111.5
22-07-2015,112.139999,113.879997,110.559998,111.5,10500500,110.099998
23-07-2015,110.910004,112.18,109.839996,110.099998,8306800,109.339996
24-07-2015,111.550003,111.68,108.900002,109.339996,8125100,106.43
27-07-2015,107.790001,109.860001,106.25,106.43,11302600,106.900002
28-07-2015,107.290001,107.940002,103.879997,106.900002,11155900,107.080002
29-07-2015,106.830002,107.75,105.400002,107.080002,6695600,111.559998
30-07-2015,106.400002,111.900002,105.400002,111.559998,14229200,114.309998
31-07-2015,111.949997,115,111.150002,114.309998,16349100,112.559998
03-08-2015,114.599998,114.599998,111.779999,112.559998,10144800,121.150002
04-08-2015,113.150002,122.790001,113,121.150002,29653300,123.709999
05-08-2015,125.620003,129.289993,122.709999,123.709999,26946500,126.449997
06-08-2015,126.290001,128.850006,122.040001,126.449997,24716700,123.519997
07-08-2015,126.419998,126.599998,121.300003,123.519997,17360700,123.029999
10-08-2015,126.089996,126.5,121.510002,123.029999,13424600,122.739998
11-08-2015,120.010002,123.760002,120,122.739998,11596800,120.510002
12-08-2015,121.470001,122.449997,118.660004,120.510002,13822500,123.730003
13-08-2015,120.989998,125.730003,119.339996,123.730003,15284400,123.389999
14-08-2015,124.959999,125,123,123.389999,8667700,125.360001
17-08-2015,123.139999,125.699997,122.589996,125.360001,9233800,124.050003
18-08-2015,125.260002,126.75,123.550003,124.050003,9382000,122.059998
19-08-2015,123.5,123.699997,121.5,122.059998,10115300,112.489998
20-08-2015,119.800003,121.449997,111.339996,112.489998,28045300,103.959999
21-08-2015,106.199997,110,102.75,103.959999,33228300,96.879997
24-08-2015,88.75,109.629997,85.5,96.879997,59951900,101.519997
25-08-2015,107.75,107.879997,101.5,101.519997,37620700,110.129997
26-08-2015,107.150002,110.279999,102.019997,110.129997,36164600,117.660004
27-08-2015,114.940002,118.25,113.019997,117.660004,37056100,117.629997
28-08-2015,116.349998,119.349998,115.879997,117.629997,20240200,115.029999
31-08-2015,115.239998,117,113.760002,115.029999,17005600,105.790001
01-09-2015,109.349998,111.239998,103.82,105.790001,35977100,105.440002
02-09-2015,109.309998,109.5,100.300003,105.440002,39843300,101.059998
03-09-2015,102.690002,104.169998,100.110001,101.059998,29546700,98.790001
04-09-2015,98.050003,99.93,97.339996,98.790001,24212000,94.949997
08-09-2015,102.080002,102.5,93.550003,94.949997,43479700,99.18
09-09-2015,96.510002,102.790001,95.519997,99.18,35524400,99.480003
10-09-2015,99.419998,100.849998,96.779999,99.480003,21031900,97.510002
11-09-2015,98.57,100.849998,97.230003,97.510002,17373900,95.690002
14-09-2015,96.839996,97.910004,94.330002,95.690002,15546000,99.160004
15-09-2015,95.220001,99.650002,93.610001,99.160004,22591100,104.080002
16-09-2015,99.699997,104.480003,99.330002,104.080002,28058200,104.209999
17-09-2015,103.669998,107.5,101.830002,104.209999,25817700,102.620003
18-09-2015,102,104.360001,100.709999,102.620003,21715000,100.300003
21-09-2015,103.300003,103.769997,99.559998,100.300003,17900600,98.470001
22-09-2015,98.290001,99.900002,97,98.470001,16717900,98.07
23-09-2015,98.599998,99.739998,97.660004,98.07,10264500,103.760002
24-09-2015,97.110001,104,96.779999,103.760002,21274500,102.239998
25-09-2015,105.300003,105.449997,101.57,102.239998,19066600,99.470001
28-09-2015,101.57,103.330002,97.839996,99.470001,17026600,98.349998
29-09-2015,99.629997,100.629997,96.849998,98.349998,17405900,103.260002
30-09-2015,99.910004,103.459999,99.050003,103.260002,17027600,105.980003
01-10-2015,102.910004,106.110001,101.120003,105.980003,17426900,106.110001
02-10-2015,103.010002,106.870003,101.449997,106.110001,21526700,111.25
05-10-2015,107.480003,112.279999,105.760002,111.25,21157900,108.330002
06-10-2015,110.330002,112.25,105.639999,108.330002,20629800,108.099998
